WBAN,ICAO
452,KGIC
94107,KREO
24155,KPDT
94273,KMMV
4113,KHRI
24148,KLGD
24152,KMEH
24130,KBKE
24231,KRBG
24284,KOTH
24230,KRDM
24221,KEUG
24232,KSLE
24202,KCVO
24285,KONP
94281,KUAO
24229,KPDX
24242,KTTD
94261,KHIO
24219,KDLS
14609,KHUL
94605,K40B
14607,KCAR
14604,KPQI
94623,KIWI
14847,KANJ
4869,KCIU
14841,KPLN
4803,KRHI
54825,KPZQ
94850,KMQT
4870,KCVX
54820,KMCD
4863,KACB
94893,KIMT
14858,KCMX
4979,KTWM
94926,KIWD
4954,KMZH
14913,KDLH
4912,KCKN
94967,KPKD
4911,KCKC
94931,KHIB
4919,KDYT
94962,KDTL
94919,KGPZ
94964,KELO
4918,KDXX
4926,KFGN
4928,KFOZ
94992,KGNA
14918,KINL
94977,KCDD
4923,KEVM
4940,KJMR
94961,KBDE
4970,KROX
4934,KHCO
4983,KVWU
4984,KXVG
4909,KCBG
94999,KAIT
4929,KFSE
4952,KMWM
54904,KBBB
54915,KPWC
54910,KSAZ
4982,KVVV
4932,KGYL
14914,KFAR
4922,KETH
14919,KJMS
14958,KBJI
94956,KTVF
4905,KBFW
4902,KAUM
14916,KGFK
94928,KDVL
94925,KRDR
94038,KHEI
24012,KDIK
24011,KBIS
94014,KISN
94011,KMIB
24013,KMOT
94041,KN60
94008,KGGW
94051,KJDN
94017,KOLF
94028,KSDY
24137,KCTB
24138,KDLN
24144,KHLN
24153,KMSO
24135,KBTM
24143,KGTF
